Ano,UF,Capital,RM_RIDE,V2007,VD4016,VD4017,V5002A,V5002A2,V2010,VD3002,VD4002,V1032,V2009
2017,17,NA,NA,1,NA,NA,2,NA,4,5,NA,116.12858523,53
2017,16,NA,NA,1,NA,NA,2,NA,4,0,NA,295.77860993,5
2017,27,NA,NA,2,NA,NA,2,NA,1,3,NA,88.60329719,10
2017,21,NA,NA,2,NA,NA,1,240,2,0,NA,447.00100258,32
2017,15,15,15,1,1500,600,2,NA,4,4,1,403.87567149,54
2017,43,NA,NA,2,NA,NA,2,NA,1,0,NA,695.08410431,10
2017,24,NA,24,2,NA,NA,2,NA,1,7,NA,622.98016587,15
2017,43,NA,NA,2,NA,NA,2,NA,1,3,NA,288.54557318,74
2017,27,27,27,1,1600,1600,2,NA,4,11,1,244.14486129,25
2017,24,24,24,2,2000,2000,2,NA,2,15,1,632.92115251,37
2017,31,31,31,2,NA,NA,2,NA,1,NA,NA,584.10710544,4
2017,35,35,35,2,1920,1920,2,NA,4,7,1,1838.58785508,46
2017,43,NA,NA,2,NA,NA,2,NA,1,NA,NA,726.80432008,1
2017,31,NA,NA,1,1500,1500,2,NA,2,4,1,601.07356969,41
2017,35,NA,NA,1,NA,NA,2,NA,1,8,NA,1172.29347966,58
2017,27,NA,NA,1,NA,NA,2,NA,4,8,NA,237.78291734,20
2017,12,12,NA,1,NA,NA,2,NA,4,0,NA,95.02118287,6
2017,15,15,15,2,937,937,2,NA,2,7,1,407.17823993,52
2017,31,NA,NA,1,400,0,2,NA,1,7,1,360.35385376,19
2017,43,43,43,1,1500,1500,2,NA,1,10,1,704.03210449,24
2017,21,NA,NA,1,NA,NA,2,NA,2,2,2,228.69694952,38
2017,31,NA,NA,2,NA,NA,2,NA,2,0,NA,462.63703304,49
2017,22,NA,22,2,NA,NA,2,NA,4,4,NA,194.42376618,11
2017,33,NA,33,1,NA,NA,2,NA,4,7,NA,647.45135523,14
2017,31,NA,NA,2,NA,NA,2,NA,2,15,NA,805.71198767,56
2017,15,NA,NA,2,NA,NA,2,NA,4,0,1,94.09349344,65
2017,25,NA,NA,2,NA,NA,1,425,4,0,NA,100.31456917,33
2017,51,NA,51,2,NA,NA,2,NA,1,6,NA,246.88697707,13
2017,35,35,35,1,NA,NA,2,NA,1,NA,NA,280.99121787,3
2017,22,NA,NA,2,NA,NA,2,NA,4,5,NA,119.97418109,24
2017,41,NA,41,2,937,937,2,NA,1,8,1,223.82161586,45
2017,31,NA,NA,2,937,937,2,NA,4,11,1,1270.13153551,53
2017,41,NA,NA,1,NA,NA,2,NA,1,3,NA,285.75378144,24
2017,21,NA,NA,2,NA,NA,2,NA,4,0,NA,182.61439751,64
2017,41,NA,NA,1,NA,NA,2,NA,1,4,NA,844.68805345,12
2017,27,27,27,1,NA,NA,2,NA,4,NA,NA,244.05907742,4
2017,33,NA,33,2,1000,1000,2,NA,1,12,1,714.04642075,21
2017,11,11,NA,2,NA,NA,2,NA,1,11,2,140.87314624,45
2017,29,NA,NA,1,650,400,2,NA,4,3,1,103.01332988,56
2017,27,NA,NA,2,NA,NA,2,NA,4,NA,NA,143.17200438,2
2017,42,42,42,1,6000,6000,2,NA,1,15,1,213.02739514,60
2017,29,29,29,2,500,300,2,NA,4,11,1,295.64303178,49
2017,31,NA,NA,2,NA,NA,1,200,4,5,NA,400.44915391,27
2017,35,35,35,2,1350,1350,2,NA,4,11,1,1565.96882775,22
2017,35,NA,35,1,3000,3000,2,NA,1,11,1,252.07836859,53
2017,15,NA,NA,2,NA,NA,2,NA,1,13,NA,691.94931795,20
2017,33,33,33,1,2500,1800,2,NA,4,11,1,604.20775975,44
2017,42,NA,NA,1,1300,1300,2,NA,1,12,1,315.56716029,19
2017,21,NA,NA,2,937,937,1,85,4,9,1,109.57317461,43
2017,13,13,13,2,NA,NA,2,NA,4,5,1,282.61189175,42
2017,35,NA,NA,1,NA,NA,2,NA,1,0,NA,1473.06495683,6
2017,15,NA,NA,1,NA,NA,2,NA,4,5,1,114.99608674,16
2017,11,NA,NA,1,NA,NA,2,NA,4,1,NA,123.85538857,8
2017,31,NA,NA,1,NA,NA,2,NA,4,2,NA,314.05720096,9
2017,31,NA,NA,2,NA,NA,2,NA,1,4,NA,648.58641135,84
2017,27,27,27,1,1100,1100,2,NA,4,11,1,195.97419024,37
2017,31,NA,NA,2,1000,0,2,NA,1,15,1,777.2460362,42
2017,35,NA,NA,1,NA,NA,2,NA,1,2,2,1102.98777682,63
